,time_get_data,city,title,flood,address,followInfo,tag,priceInfo,follower,release_time
0,2022-10-27,sh,业主诚意+单价低+改动好+房子舒适且来赛必看好房,龙柏二村    -  龙柏,2室1厅 | 60.58平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,18人关注 / 9天以前发布,VR看装修房本满五年,"356万58,766元/平",18人关注 ,9天以前发布
1,2022-10-27,sh,这套户型在这栋楼当中看江景很好的户型必看好房,财富海景花园    -  陆家嘴,3室2厅 | 200.18平米 | 西南 | 精装 | 高楼层(共30层) | 2006年建 | 板塔结合,0人关注 / 1个月以前发布,近地铁VR房源房本满两年随时看房,"3750万187,332元/平",0人关注 ,1个月以前发布
2,2022-10-27,sh,准电梯房，精装修空置有钥匙，税费各付必看好房,舒兴小区    -  西郊,2室1厅 | 64.6平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,10人关注 / 17天以前发布,近地铁VR看装修房本满五年随时看房,"346万53,561元/平",10人关注 ,17天以前发布
3,2022-10-27,sh,满五不wei1税少 两卫都有窗 楼层好位置好 南北两阳台必看好房,河风丽景    -  天山,4室2厅 | 193.54平米 | 南 | 精装 | 中楼层(共18层) | 2004年建 | 板楼,17人关注 / 24天以前发布,近地铁VR房源房本满五年,"1800万93,005元/平",17人关注 ,24天以前发布
4,2022-10-27,sh,大户型的3房 小区内半年出来一套 比较少见哦必看好房,水语人家南苑    -  闵浦,3室1厅 | 99.58平米 | 南 | 毛坯 | 低楼层(共11层) | 2010年建 | 板楼,16人关注 / 2个月以前发布,近地铁VR看装修房本满五年随时看房,"438万43,985元/平",16人关注 ,2个月以前发布
5,2022-10-27,sh,双轨交汇+满五+99年房龄+业主诚意+看房方便必看好房,宁锦小区    -  中山公园,2室1厅 | 55.51平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,14人关注 / 1个月以前发布,VR看装修房本满五年随时看房,"425万76,563元/平",14人关注 ,1个月以前发布
6,2022-10-27,sh,内环内老静安+满五+税费少+品质精装+高区无遮挡必看好房,高荣小区    -  曹家渡,2室1厅 | 69.61平米 | 西南 | 精装 | 24层 | 1990年建 | 塔楼,15人关注 / 1个月以前发布,VR看装修房本满五年随时看房,"615万88,350元/平",15人关注 ,1个月以前发布
7,2022-10-27,sh,满五税少+精装修+近地铁+业主诚意必看好房,潍坊五村    -  潍坊,2室1厅 | 52.09平米 | 西南 | 精装 | 高楼层(共6层) | 1983年建 | 板楼,3人关注 / 28天以前发布,近地铁VR看装修房本满五年随时看房,"438万84,086元/平",3人关注 ,28天以前发布
8,2022-10-27,sh,户型方正，南北通，交通便利，配套齐全，楼层好精装修必看好房,万馨佳园    -  川沙,2室1厅 | 74.16平米 | 南 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,29人关注 / 23天以前发布,VR房源房本满五年,"420万56,635元/平",29人关注 ,23天以前发布
9,2022-10-27,sh,新上必卖婚装边套全明三房舒适楼层万象城爱琴海10号线必看好房,龙柏七村    -  龙柏,3室1厅 | 76.63平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,23人关注 / 30天以前发布,近地铁VR看装修房本满五年,"543万70,860元/平",23人关注 ,30天以前发布
10,2022-10-27,sh,精装修实木地板+中间楼层+南北通户型+诚心出售必看好房,瑞和新苑浦涛路400弄    -  闵浦,2室1厅 | 73.02平米 | 南 北 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,15人关注 / 27天以前发布,近地铁VR房源房本满两年,"298万40,811元/平",15人关注 ,27天以前发布
11,2022-10-27,sh,内环边，板式户型，中间楼层南北通透两房，采光好必看好房,海联花苑    -  金虹桥,2室2厅 | 83.4平米 | 南 北 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,24人关注 / 26天以前发布,VR看装修房本满五年,"670万80,336元/平",24人关注 ,26天以前发布
12,2022-10-27,sh,苏河湾板块大悦城边 内环内 精装修高区房，视野开阔必看好房,南星小区    -  西藏北路,2室1厅 | 65.92平米 | 西北 | 精装 | 20层 | 1984年建 | 塔楼,78人关注 / 3个月以前发布,近地铁VR看装修房本满两年,"585万88,744元/平",78人关注 ,3个月以前发布
13,2022-10-27,sh,边套南北 小户型 低总价 黄埔滨江边 陆家嘴边必看好房,微山二村    -  塘桥,2室0厅 | 46.22平米 | 东 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,8人关注 / 13天以前发布,近地铁VR看装修房本满五年,"343万74,211元/平",8人关注 ,13天以前发布
14,2022-10-27,sh,电梯+商品+复式房+满五年+近地铁+华夏西必看好房,玉兰苑(川沙)    -  川沙,3室2厅 | 132.12平米 | 南 | 简装 | 低楼层(共18层) | 1999年建 | 板楼,87人关注 / 2个月以前发布,近地铁VR房源房本满两年随时看房,"469万35,499元/平",87人关注 ,2个月以前发布
15,2022-10-27,sh,此房满五年，税费少，有天井，有附加面积必看好房,澳门小区    -  长寿路,2室1厅 | 35.65平米 | 南 | 精装 | 低楼层(共6层) | 1987年建 | 板楼,56人关注 / 3个月以前发布,近地铁VR看装修房本满五年随时看房,"330万92,567元/平",56人关注 ,3个月以前发布
16,2022-10-27,sh,中高区精装修，朝南电梯一房，满五税费少必看好房,番禺大厦    -  新华路,1室1厅 | 44.42平米 | 南 | 精装 | 中楼层(共29层) | 1999年建 | 塔楼,13人关注 / 3个月以前发布,近地铁VR看装修房本满五年随时看房,"402万90,500元/平",13人关注 ,3个月以前发布
17,2022-10-27,sh,此房满五，配套设施齐全，南北通格局好，视野宽阔必看好房,汇锦城三期    -  新场,3室2厅 | 90.97平米 | 南 | 简装 | 低楼层(共17层) | 2013年建 | 板楼,72人关注 / 4个月以前发布,VR看装修房本满五年随时看房,"350万38,475元/平",72人关注 ,4个月以前发布
18,2022-10-27,sh,万达商圈+新城板块+配套成熟+满五+中间楼层必看好房,绿地金卫新家园（西区）    -  金山,2室2厅 | 86.95平米 | 南 北 | 简装 | 低楼层(共6层) | 2007年建 | 板楼,59人关注 / 3个月以前发布,VR看装修房本满五年随时看房,"135万15,527元/平",59人关注 ,3个月以前发布
19,2022-10-27,sh,飞机户型精装修三房领包入住中间楼层，有钥匙不靠马路必看好房,听潮六村    -  惠南,3室2厅 | 93.82平米 | 南 | 精装 | 中楼层(共5层) | 1995年建 | 板楼,36人关注 / 一年前发布,VR看装修房本满五年随时看房,"248万26,434元/平",36人关注 ,一年前发布
20,2022-10-27,sh,近龙柏低总价2房全明双南户型，业主置换急卖必看好房,虹井小区    -  金汇,2室2厅 | 81.77平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,9人关注 / 1个月以前发布,近地铁VR看装修房本满五年随时看房,"490万59,925元/平",9人关注 ,1个月以前发布
21,2022-10-27,sh,浦江8号延长线200米+商品房+边套大一房，满五唯 一必看好房,汇颂南苑    -  闵浦,1室1厅 | 61.23平米 | 南 | 简装 | 低楼层(共11层) | 2008年建 | 板楼,65人关注 / 11个月以前发布,近地铁VR看装修房本满五年随时看房,"225万36,747元/平",65人关注 ,11个月以前发布
22,2022-10-27,sh,新上房源 房本满5年无个税 小区中间位置 地段优越必看好房,桃园新村(川沙)    -  川沙,2室1厅 | 65.6平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,15人关注 / 2个月以前发布,VR看装修房本满五年随时看房,"323万49,238元/平",15人关注 ,2个月以前发布
23,2022-10-27,sh,此房满五，南北通户型，楼层好，生活配套完善必看好房,工农新村(新场)    -  新场,2室1厅 | 65.5平米 | 南 北 | 简装 | 中楼层(共5层) | 1983年建 | 板楼,23人关注 / 7个月以前发布,VR看装修房本满五年,"160万24,428元/平",23人关注 ,7个月以前发布
24,2022-10-27,sh,张江东+二号线+唐镇国际社区+精装修+税费少必看好房,金唐公寓    -  唐镇,2室2厅 | 88.39平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,60人关注 / 3个月以前发布,VR看装修房本满五年,"468万52,948元/平",60人关注 ,3个月以前发布
25,2022-10-27,sh,低总价+户型好+高效售房+规划好。必看好房,嘉茵苑    -  大宁,2室2厅 | 102.63平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,14人关注 / 8天以前发布,VR看装修房本满五年随时看房,"840万81,848元/平",14人关注 ,8天以前发布
26,2022-10-27,sh,航华二村梧柏小区 1室1厅 南必看好房,航华二村梧柏小区    -  航华,1室1厅 | 38.84平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,10人关注 / 23天以前发布,近地铁VR房源房本满五年,"223万57,416元/平",10人关注 ,23天以前发布
27,2022-10-27,sh,内环内满五年，全明户型 采光充足 中间楼层！必看好房,新顺小区    -  新华路,1室1厅 | 39.11平米 | 南 北 | 精装 | 低楼层(共6层) | 1983年建 | 板楼,306人关注 / 一年前发布,近地铁VR看装修房本满五年随时看房,"310万79,264元/平",306人关注 ,一年前发布
28,2022-10-27,sh,本月必卖：品质小区1居室 背靠愚园路近地铁 满5税少必看好房,宣化小区    -  中山公园,1室1厅 | 32.48平米 | 南 | 简装 | 低楼层(共6层) | 1990年建 | 板楼,30人关注 / 3个月以前发布,近地铁VR看装修房本满五年随时看房,"348万107,143元/平",30人关注 ,3个月以前发布
29,2022-10-27,sh,户型方正 南北通，交通便利，配套齐全，带院子必看好房,万馨佳园    -  川沙,2室1厅 | 77.15平米 | 南 北 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,17人关注 / 2个月以前发布,VR看装修房本满五年,"425万55,088元/平",17人关注 ,2个月以前发布
30,2022-10-27,sh,精装修拎包住，景观楼层，位置安静，满五税费低。必看好房,张江汤臣豪园(四期)    -  张江,3室2厅 | 109.8平米 | 南 | 精装 | 高楼层(共12层) | 2012年建 | 板楼,42人关注 / 3个月以前发布,VR看装修房本满五年,"1499万136,521元/平",42人关注 ,3个月以前发布
31,2022-10-27,sh,18号线沈梅路站，全南户型两房，自住装修，满五年税少必看好房,瑞和苑    -  周浦,2室1厅 | 74.04平米 | 南 | 精装 | 低楼层(共14层) | 2008年建 | 板楼,147人关注 / 7个月以前发布,VR看装修房本满五年,"328万44,301元/平",147人关注 ,7个月以前发布
32,2022-10-27,sh,经典东边套全明三房+一楼大花园+地铁口500米万象城必看好房,龙柏七村    -  龙柏,3室1厅 | 73.73平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,10人关注 / 30天以前发布,近地铁VR看装修房本满两年,"510万69,172元/平",10人关注 ,30天以前发布
33,2022-10-27,sh,徐汇漕河泾，08年电梯房，两房两卫，房子满五年必看好房,永兆豪庭    -  漕河泾,2室2厅 | 111.52平米 | 南 | 精装 | 中楼层(共18层) | 2008年建 | 板楼,70人关注 / 4个月以前发布,近地铁VR房源房本满五年,"1140万102,224元/平",70人关注 ,4个月以前发布
34,2022-10-27,sh,满五年税费少，中间楼层，婚房装修，拎包入住必看好房,安阁苑    -  周浦,2室1厅 | 72.26平米 | 南 | 精装 | 中楼层(共4层) | 2006年建 | 板楼,145人关注 / 3个月以前发布,VR看装修房本满五年,"325万44,977元/平",145人关注 ,3个月以前发布
35,2022-10-27,sh,6，10双轨+拎包入住+景观楼层+满五年+近公园菜场必看好房,潼港六村    -  外高桥,3室1厅 | 73.85平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,2人关注 / 7天以前发布,VR看装修房本满五年随时看房,"318万43,061元/平",2人关注 ,7天以前发布
36,2022-10-27,sh,天山古北+2号线威宁路+满五税费少+诚意+精装+缤谷广场必看好房,河风丽景    -  天山,2室2厅 | 115.11平米 | 南 | 精装 | 低楼层(共18层) | 2004年建 | 板楼,55人关注 / 1个月以前发布,近地铁VR房源房本满五年,"1088万94,519元/平",55人关注 ,1个月以前发布
37,2022-10-27,sh,西渡地铁站+复式+满五年+零三年房子必看好房,水岸家苑    -  西渡,3室1厅 | 157.38平米 | 南 | 毛坯 | 高楼层(共6层) | 2003年建 | 板楼,77人关注 / 2个月以前发布,VR房源随时看房,"330万20,969元/平",77人关注 ,2个月以前发布
38,2022-10-27,sh,10号线动物园站450米+满五年+诚意出售+随时可签必看好房,锦程小区    -  西郊,1室1厅 | 41.95平米 | 南 | 毛坯 | 高楼层(共5层) | 1985年建 | 板楼,23人关注 / 24天以前发布,近地铁VR看装修随时看房,"240万57,211元/平",23人关注 ,24天以前发布
39,2022-10-27,sh,一线江景，景观位置，不靠马路，一手动迁税费低随时签必看好房,华沁家园    -  植物园,2室2厅 | 88.42平米 | 南 | 毛坯 | 高楼层(共35层) | 2011年建 | 板楼,9人关注 / 7天以前发布,VR看装修房本满五年随时看房,"820万92,740元/平",9人关注 ,7天以前发布
40,2022-10-27,sh,双南大房间，落地窗，万达广场，精装，地铁口，必看好房,大宅风范城    -  江桥,2室1厅 | 69.62平米 | 南 | 精装 | 低楼层(共13层) | 2011年建 | 板楼,11人关注 / 7天以前发布,近地铁VR看装修房本满五年随时看房,"396万56,881元/平",11人关注 ,7天以前发布
41,2022-10-27,sh,近地铁站，一梯三户 公园旁 全新装修 拎包入住必看好房,延西小区    -  新华路,2室1厅 | 51.3平米 | 南 | 精装 | 低楼层(共6层) | 1990年建 | 板楼,13人关注 / 5天以前发布,近地铁VR看装修房本满五年随时看房,"429万83,626元/平",13人关注 ,5天以前发布
42,2022-10-27,sh,好楼层！总价实惠！单价划算！付款要求低！诚意就卖！必看好房,车站新村(普陀)    -  真如,2室2厅 | 83.17平米 | 南 北 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,27人关注 / 23天以前发布,VR房源房本满五年随时看房,"565万67,934元/平",27人关注 ,23天以前发布
43,2022-10-27,sh,满五年  中间楼层 采光充足 视野开阔 随时可看必看好房,宁阳小区    -  塘桥,1室1厅 | 31.62平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,34人关注 / 1个月以前发布,近地铁VR看装修房本满五年,"230万72,739元/平",34人关注 ,1个月以前发布
44,2022-10-27,sh,精装修可直接入住+中间楼层+位置安静+南北格局采光好必看好房,法华镇路720弄    -  新华路,2室0厅 | 45.63平米 | 南 | 精装 | 中楼层(共6层) | 1984年建 | 板楼,25人关注 / 1个月以前发布,近地铁VR看装修房本满两年,"430万94,237元/平",25人关注 ,1个月以前发布
45,2022-10-27,sh,张江科学城+广兰路地铁口+双南两房+诚意出售+可看必看好房,香楠小区    -  张江,2室1厅 | 76.54平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,20人关注 / 5个月以前发布,近地铁VR看装修房本满五年,"491万64,150元/平",20人关注 ,5个月以前发布
46,2022-10-27,sh,精装修一室一厅，视野宽阔，采光充足，业主诚心出售必看好房,洛川路14号    -  甘泉宜川,1室1厅 | 34.39平米 | 南 | 精装 | 高楼层(共7层) | 1987年建 | 板楼,709人关注 / 10个月以前发布,VR看装修房本满两年,"188万54,668元/平",709人关注 ,10个月以前发布
47,2022-10-27,sh,马桥万达旁，品质小区，少有户型，置换诚心出售必看好房,绿地璀璨天城    -  老闵行,4室2厅 | 146.98平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,2人关注 / 14天以前发布,VR看装修房本满两年,"845万57,491元/平",2人关注 ,14天以前发布
48,2022-10-27,sh,顾村公园双轨文明社区，低总价南北两房，钥匙诚意出售必看好房,文宝苑    -  顾村,2室2厅 | 76.74平米 | 南 北 | 毛坯 | 低楼层(共11层) | 2008年建 | 板楼,13人关注 / 7天以前发布,近地铁VR看装修房本满五年随时看房,"378万49,258元/平",13人关注 ,7天以前发布
49,2022-10-27,sh,此房满五+ 户型正气+南北通两房必看好房,大华颐和华城(公寓)    -  万里,2室2厅 | 100.92平米 | 南 北 | 简装 | 中楼层(共13层) | 2007年建 | 板楼,10人关注 / 7天以前发布,近地铁VR看装修房本满五年随时看房,"830万82,244元/平",10人关注 ,7天以前发布
50,2022-10-27,sh,凤凰楼层 税费少 杨浦滨江 视野开阔 看房随时方便必看好房,中环和乐苑    -  周家嘴路,2室1厅 | 66.45平米 | 南 | 精装 | 高楼层(共18层) | 2014年建 | 板楼,5人关注 / 5天以前发布,近地铁VR看装修房本满两年随时看房,"565万85,027元/平",5人关注 ,5天以前发布
51,2022-10-27,sh,华侨城稀有电梯上叠+边套全明采光+四房三卫+百平露台必看好房,新浦江城(江栀路500弄)    -  浦江,4室2厅 | 212.67平米 | 南 北 | 毛坯 | 中楼层(共4层) | 2009年建 | 板楼,9人关注 / 4天以前发布,VR房源房本满五年随时看房,"1650万77,585元/平",9人关注 ,4天以前发布
52,2022-10-27,sh,地铁口新上满五免增值税+低单价、低总价电梯全明两房必看好房,普善新苑    -  大宁,2室2厅 | 76.09平米 | 南 | 简装 | 18层 | 1995年建 | 塔楼,39人关注 / 16天以前发布,VR房源房本满五年随时看房,"530万69,655元/平",39人关注 ,16天以前发布
53,2022-10-27,sh,电梯三房两卫，公摊少，单价低，7/15地铁必看好房,锦秋花园    -  上大,3室2厅 | 127.87平米 | 南 北 | 简装 | 中楼层(共6层) | 2007年建 | 板楼,13人关注 / 27天以前发布,VR看装修房本满五年随时看房,"724万56,621元/平",13人关注 ,27天以前发布
54,2022-10-27,sh,一梯两户南北通 阁楼80平带露台 近青浦新城必看好房,佳乐苑    -  夏阳,4室3厅 | 130.24平米 | 南 | 简装 | 高楼层(共6层) | 2005年建 | 板楼,31人关注 / 20天以前发布,VR房源房本满五年随时看房,"475万36,472元/平",31人关注 ,20天以前发布
55,2022-10-27,sh,低总价三房，精装交付，华润品质小区。必看好房,静安府东区    -  大宁,3室2厅 | 116.58平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,19人关注 / 19天以前发布,近地铁VR看装修房本满两年随时看房,"1430万122,663元/平",19人关注 ,19天以前发布
56,2022-10-27,sh,动迁房，税费少，楼层好，采光佳。看房方便。必看好房,大宅风范城    -  江桥,2室2厅 | 92.87平米 | 南 北 | 精装 | 高楼层(共13层) | 2007年建 | 板楼,2人关注 / 5天以前发布,近地铁VR看装修房本满五年随时看房,"510万54,916元/平",2人关注 ,5天以前发布
57,2022-10-27,sh,3楼一梯一户，客厅带窗，小区C位，动静分区诚意出售必看好房,绿川新苑    -  北蔡,3室1厅 | 114.15平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,26人关注 / 11天以前发布,VR看装修房本满五年随时看房,"684万59,922元/平",26人关注 ,11天以前发布
58,2022-10-27,sh,小户型一房，总价低，采光好，近地铁 医院必看好房,曙航苑    -  川沙,1室1厅 | 41.97平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,10人关注 / 6天以前发布,VR看装修房本满五年随时看房,"175万41,697元/平",10人关注 ,6天以前发布
59,2022-10-27,sh,大虹桥精装两房，采光好，视野好必看好房,绿地新江桥城三期    -  江桥,2室1厅 | 77.33平米 | 南 | 精装 | 高楼层(共15层) | 2011年建 | 板楼,6人关注 / 11天以前发布,VR看装修房本满五年随时看房,"410万53,020元/平",6人关注 ,11天以前发布
60,2022-10-27,sh,二手买进价格高，双南两房，楼层也很好，采光视野好。必看好房,京浦小区    -  御桥,2室1厅 | 62.7平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,6人关注 / 14天以前发布,近地铁VR看装修房本满两年随时看房,"430万68,581元/平",6人关注 ,14天以前发布
61,2022-10-27,sh,南北通透，满五，步梯中层，方正户型必看好房,绿地东岸涟城    -  临港新城,2室2厅 | 85平米 | 北 南 | 简装 | 中楼层(共5层) | 2009年建 | 板楼,6人关注 / 12天以前发布,VR看装修房本满五年随时看房,"250万29,412元/平",6人关注 ,12天以前发布
62,2022-10-27,sh,近地铁高楼层一房，景观房，采光好，配套全必看好房,新凯城紫荆苑    -  泗泾,1室1厅 | 53.64平米 | 南 | 简装 | 高楼层(共18层) | 2014年建 | 板楼,4人关注 / 3天以前发布,VR房源房本满五年随时看房,"215万40,083元/平",4人关注 ,3天以前发布
63,2022-10-27,sh,近闵行公园 生活配套齐全 户型方正 诚意出售必看好房,茂盛城市花园    -  七宝,2室2厅 | 93.32平米 | 南 | 精装 | 中楼层(共6层) | 2003年建 | 板楼,1人关注 / 7天以前发布,近地铁VR看装修房本满五年,"830万88,942元/平",1人关注 ,7天以前发布
64,2022-10-27,sh,嘉怡路400m，低总价一房，满五年，业主置换诚心出售必看好房,江桥二村    -  江桥,1室1厅 | 49.26平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,5人关注 / 8天以前发布,近地铁VR看装修房本满五年,"224万45,474元/平",5人关注 ,8天以前发布
65,2022-10-27,sh,楼层好，视野好，地段佳，俯瞰徐家汇，配套齐全必看好房,东方曼哈顿    -  徐家汇,2室1厅 | 98.48平米 | 西南 | 精装 | 高楼层(共37层) | 2003年建 | 塔楼,15人关注 / 6天以前发布,近地铁VR房源房本满五年,"1460万148,254元/平",15人关注 ,6天以前发布
66,2022-10-27,sh,精装南北两房，售后公房，看房方便必看好房,钦州花苑    -  田林,2室1厅 | 81.59平米 | 南 | 精装 | 高楼层(共29层) | 1994年建 | 塔楼,5人关注 / 5天以前发布,近地铁VR看装修房本满五年,"549万67,288元/平",5人关注 ,5天以前发布
67,2022-10-27,sh,南北精装两房 全明户型 采光好 交通便利 五轨交汇必看好房,绿地世纪城(一期)    -  武宁,2室1厅 | 84.9平米 | 南 北 | 简装 | 低楼层(共34层) | 2002年建 | 板楼,27人关注 / 4天以前发布,近地铁VR看装修房本满五年,"870万102,474元/平",27人关注 ,4天以前发布
68,2022-10-27,sh,一年前30W精装，适合所/有人群，全明/三/房、美丽家园必看好房,怡佳苑    -  黄兴公园,3室1厅 | 77.4平米 | 南 北 | 精装 | 低楼层(共7层) | 1994年建 | 板楼,10人关注 / 7天以前发布,近地铁VR看装修房本满五年,"588万75,969元/平",10人关注 ,7天以前发布
69,2022-10-27,sh,此房满5唯1，配备齐全，生活便利必看好房,金坤花园    -  金汇,1室0厅 | 30平米 | 南 西 | 简装 | 高楼层(共6层) | 2002年建 | 塔楼,243人关注 / 10个月以前发布,近地铁VR看装修房本满五年,"163万54,334元/平",243人关注 ,10个月以前发布
70,2022-10-27,sh,慧华苑标准三房，南北双阳台，南北通透，诚信出售必看好房,慧华苑    -  上大,3室2厅 | 118.6平米 | 南 北 | 精装 | 低楼层(共6层) | 2009年建 | 板楼,20人关注 / 25天以前发布,VR看装修房本满两年,"590万49,748元/平",20人关注 ,25天以前发布
71,2022-10-27,sh,新上笋盘，准电梯房，全新装修位置好必看好房,上钞苑    -  长风,2室1厅 | 72.84平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,5人关注 / 25天以前发布,VR看装修房本满五年,"640万87,864元/平",5人关注 ,25天以前发布
72,2022-10-27,sh,嘉定新城板块 单价3万左右 房东急售房必看好房,和亭佳苑    -  安亭,2室2厅 | 92.54平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,20人关注 / 18天以前发布,VR房源房本满五年,"284万30,690元/平",20人关注 ,18天以前发布
73,2022-10-27,sh,3房朝南户型正气，高区景观视野很棒，看房方便，诚售必看好房,金桥爱建园    -  碧云,3室2厅 | 119.38平米 | 南 | 简装 | 高楼层(共17层) | 2003年建 | 板楼,9人关注 / 15天以前发布,近地铁VR房源房本满五年,"1500万125,650元/平",9人关注 ,15天以前发布
74,2022-10-27,sh,店长强烈推荐+内环满五W1税费少+高区看小区内部花园必看好房,和泰花园    -  不夜城,2室2厅 | 116.27平米 | 南 | 精装 | 高楼层(共20层) | 1999年建 | 塔楼,14人关注 / 13天以前发布,VR看装修房本满五年,"960万82,567元/平",14人关注 ,13天以前发布
75,2022-10-27,sh,经典一房，精装修，没住过人，总价低，看房方便必看好房,浦发罗兰翡丽    -  唐镇,1室2厅 | 71.22平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,41人关注 / 4个月以前发布,VR房源随时看房,"645万90,565元/平",41人关注 ,4个月以前发布
