,time_get_data,city,title,flood,address,followInfo,tag,priceInfo,follower,release_time
21,2022-10-29,cd,合能珍宝琥珀 3室1厅 西,合能珍宝琥珀    -  光华大道沿线,3室1厅 | 82.71平米 | 西 | 精装 | 高楼层(共34层) | 2014年建 | 板塔结合,0人关注 / 4天以前发布,近地铁VR房源房本满五年随时看房,"114万13,784元/平",0人关注 ,4天以前发布
22,2022-10-29,cd,凯德风尚 3室2厅 南,凯德风尚    -  外光华,3室2厅 | 89.55平米 | 南 | 简装 | 低楼层(共19层) | 2012年建 | 板塔结合,0人关注 / 4天以前发布,近地铁VR房源房本满五年随时看房,"235万26,243元/平",0人关注 ,4天以前发布
23,2022-10-29,cd,天祥街28号 2室1厅 东,天祥街28号    -  猛追湾,2室1厅 | 71.31平米 | 东 | 简装 | 低楼层(共7层) | 1999年建 | 板楼,120人关注 / 一年前发布,近地铁VR看装修随时看房,"71万9,957元/平",120人关注 ,一年前发布
24,2022-10-29,cd,玉泉街112号 3室1厅 东南必看好房,玉泉街112号    -  草市街,3室1厅 | 69平米 | 东南 | 精装 | 高楼层(共4层)  | 板楼,3人关注 / 31天以前发布,近地铁VR看装修房本满五年随时看房,"80万11,595元/平",3人关注 ,31天以前发布
25,2022-10-29,cd,麓山国际圣芭芭拉 4室2厅 南,麓山国际圣芭芭拉    -  麓山,4室2厅 | 216.83平米 | 南 | 毛坯 | 5层 | 2010年建 | 板楼 | 联排别墅,4人关注 / 27天以前发布,VR房源房本满五年随时看房,"638万29,424元/平",4人关注 ,27天以前发布
26,2022-10-29,cd,蓝光花满庭三期北区 3室2厅 南必看好房,蓝光花满庭三期北区    -  大丰,3室2厅 | 80.08平米 | 南 | 精装 | 中楼层(共30层) | 2018年建 | 塔楼,1人关注 / 6天以前发布,VR看装修房本满两年随时看房,"118万14,736元/平",1人关注 ,6天以前发布
27,2022-10-29,cd,启明柳岸馨苑 5室2厅 东南必看好房,启明柳岸馨苑    -  温江大学城,5室2厅 | 142.21平米 | 东南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,0人关注 / 14天以前发布,近地铁VR看装修房本满五年随时看房,"104万7,314元/平",0人关注 ,14天以前发布
28,2022-10-29,cd,汇融广场B区 3室2厅 东南必看好房,汇融广场B区    -  大丰,3室2厅 | 98.64平米 | 东南 | 简装 | 高楼层(共39层)  | 暂无数据,1人关注 / 8天以前发布,近地铁VR看装修房本满两年随时看房,"128万12,977元/平",1人关注 ,8天以前发布
29,2022-10-29,cd,公园榕郡 3室1厅 东南必看好房,公园榕郡    -  犀浦,3室1厅 | 88.3平米 | 东南 | 简装 | 高楼层(共18层) | 2011年建 | 板塔结合,0人关注 / 4天以前发布,VR房源房本满五年随时看房,"103万11,665元/平",0人关注 ,4天以前发布
30,2022-10-29,cd,公园榕郡 3室1厅 东南必看好房,公园榕郡    -  犀浦,3室1厅 | 88.3平米 | 东南 | 简装 | 高楼层(共18层) | 2011年建 | 板塔结合,0人关注 / 4天以前发布,VR房源房本满五年随时看房,"103万11,665元/平",0人关注 ,4天以前发布
31,2022-10-29,cd,南湖世纪 4室2厅 东 西必看好房,南湖世纪    -  南湖,4室2厅 | 154.31平米 | 东 西 | 毛坯 | 低楼层(共33层) | 2016年建 | 塔楼,0人关注 / 3天以前发布,VR房源房本满两年随时看房,"290万18,794元/平",0人关注 ,3天以前发布
32,2022-10-29,cd,西财学府尚郡 3室2厅 东北必看好房,西财学府尚郡    -  温江大学城,3室2厅 | 100.2平米 | 东北 | 精装 | 低楼层(共18层) | 2009年建 | 塔楼,1人关注 / 8天以前发布,近地铁VR看装修房本满五年随时看房,"118万11,777元/平",1人关注 ,8天以前发布
33,2022-10-29,cd,开元国际 3室2厅 南,开元国际    -  大丰,3室2厅 | 86.86平米 | 南 | 简装 | 低楼层(共26层) | 2012年建 | 板塔结合,0人关注 / 5天以前发布,近地铁VR房源房本满五年随时看房,"119.5万13,758元/平",0人关注 ,5天以前发布
